Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
The Shawshank Redemption,1994,R,142,Drama,9.3,80.0,Frank Darabont,Tim Robbins,2343110,28341469,1
The Godfather,1972,R,175,Crime,9.2,100.0,Francis Ford Coppola,Marlon Brando,1620367,134966411,2
The Dark Knight,2008,PG-13,152,Action,9.0,84.0,Christopher Nolan,Christian Bale,2303232,534858444,3
The Godfather: Part II,1974,R,202,Crime,9.0,90.0,Francis Ford Coppola,Al Pacino,1129952,57300000,2
12 Angry Men,1957,G,96,Crime,9.0,96.0,Sidney Lumet,Henry Fonda,689845,4360000,2
The Lord of the Rings: The Return of the King,2003,G,201,Action,8.9,94.0,Peter Jackson,Elijah Wood,1642758,377845905,3
Pulp Fiction,1994,R,154,Crime,8.9,94.0,Quentin Tarantino,John Travolta,1826188,107928762,2
Schindler's List,1993,R,195,Biography,8.9,94.0,Steven Spielberg,Liam Neeson,1213505,96898818,3
Inception,2010,PG-13,148,Action,8.8,74.0,Christopher Nolan,Leonardo DiCaprio,2067042,292576195,3
Fight Club,1999,R,139,Drama,8.8,66.0,David Fincher,Brad Pitt,1854740,37030102,1
The Lord of the Rings: The Fellowship of the Ring,2001,G,178,Action,8.8,92.0,Peter Jackson,Elijah Wood,1661481,315544750,3
Forrest Gump,1994,PG-13,142,Drama,8.8,82.0,Robert Zemeckis,Tom Hanks,1809221,330252182,2
"Il buono, il brutto, il cattivo",1966,R,161,Western,8.8,90.0,Sergio Leone,Clint Eastwood,688390,6100000,1
The Lord of the Rings: The Two Towers,2002,PG-13,179,Action,8.7,87.0,Peter Jackson,Elijah Wood,1485555,342551365,3
The Matrix,1999,R,136,Action,8.7,73.0,Lana Wachowski,Lilly Wachowski,1676426,171479930,2
Goodfellas,1990,R,146,Biography,8.7,90.0,Martin Scorsese,Robert De Niro,1020727,46836394,3
Star Wars: Episode V - The Empire Strikes Back,1980,PG-13,124,Action,8.7,82.0,Irvin Kershner,Mark Hamill,1159315,290475067,3
One Flew Over the Cuckoo's Nest,1975,R,133,Drama,8.7,83.0,Milos Forman,Jack Nicholson,918088,112000000,1
Gisaengchung,2019,R,132,Comedy,8.6,96.0,Bong Joon Ho,Kang-ho Song,552778,53367844,3
Interstellar,2014,PG-13,169,Adventure,8.6,74.0,Christopher Nolan,Matthew McConaughey,1512360,188020017,3
Cidade de Deus,2002,R,130,Crime,8.6,79.0,Fernando Meirelles,Kátia Lund,699256,7563397,2
